Article Identification Number,Title,Authors,Year,Month,Journal,Volume,Issue,Page Numbers,DOI
12-7-2014,"We see more than we can report: ""cost free"" color phenomenality outside focal attention.","ZZ Bronfman, N Brezis, H Jacobson, M Usher",2014,Jul,Psychological Science,25,7,1394-403,10.1177/0956797614532656
21-7-2014,Purpose in life as a predictor of mortality across adulthood.,"PL Hill, NA Turiano",2014,Jul,Psychological Science,25,7,1475–1481,10.1177/0956797614531799
7-6-2014,Don'T believe what you read (only once): comprehension is supported by regressions during reading.,"ER Schotter, R Tran, K Rayner",2014,Jun,Psychological Science,25,6,1218-26,10.1177/0956797614531148
1-6-2014,The pen is mightier than the keyboard: advantages of longhand over laptop note taking.,"PA Mueller, DM Oppenheimer",2014,Jun,Psychological Science,25,6,1159-68,10.1177/0956797614524581
15-6-2014,Orthographic coding in illiterates and literates.,"JA Duí±abeitia, K Orihuela, M Carreiras",2014,Jun,Psychological Science,25,6,1275-80,10.1177/0956797614531026
18-6-2014,Why hypothesis tests are essential for PS: a comment on cumming (2014).,"RD Morey, JN Rouder, J Verhagen, EJ Wagenmakers",2014,Jun,Psychological Science,25,6,1289-90,10.1177/0956797614525969
14-6-2014,A developmental pathway from early life stress to inflammation: the role of negative health behaviors.,"EB Raposa, JE Bower, CL Hammen, JM Najman, PA Brennan",2014,Jun,Psychological Science,25,6,1268-74,10.1177/0956797614530570
12-6-2014,Prelinguistic infants are sensitive to space-pitch associations found across cultures.,"S Dolscheid, S Hunnius, D Casasanto, A Majid",2014,Jun,Psychological Science,25,6,1256-61,10.1177/0956797614528521
6-6-2014,A perceptually completed whole is less than the sum of its parts.,JM Gold,2014,Jun,Psychological Science,25,6,1206-17,10.1177/0956797614530725
9-6-2014,Living among the affluent: boon or bane?,"L Tay, M Morrison, E Diener",2014,Jun,Psychological Science,25,6,1235-41,10.1177/0956797614525786
17-6-2014,Does confidence use a common currency across two visual tasks?,"V de Gardelle, P Mamassian",2014,Jun,Psychological Science,25,6,1286–1288,10.1177/0956797614528956
3-6-2014,"Genetic relations among procrastination, impulsivity, and goal-management ability: implications for the evolutionary origin of procrastination.","DE Gustavson, A Miyake, JK Hewitt, NP Friedman",2014,Jun,Psychological Science,25,6,1178-88,10.1177/0956797614526260
4-6-2014,"On the precipice of a ""majority-minority"" america: perceived status threat from the racial demographic shift affects white americans' political ideology.","MA Craig, JA Richeson",2014,Jun,Psychological Science,25,6,1189-97,10.1177/0956797614527113
16-6-2014,Justifying atrocities: the effect of moral-disengagement strategies on socially shared retrieval-induced forgetting.,"A Coman, CB Stone, E Castano, W Hirst",2014,Jun,Psychological Science,25,6,1281–1285,10.1177/0956797614531024
2-6-2014,The Dopamine D4 Receptor Gene (DRD4) Moderates Cultural Difference in Independent Versus Interdependent Social Orientation.,"S Kitayama, A King, C Yoon, S Tompson, S Huff, I Liberzon",2014,Jun,Psychological Science,25,6,1169-77,10.1177/0956797614528338
8-6-2014,Methylphenidate blocks effort-induced depletion of regulatory control in healthy volunteers.,"C Sripada, D Kessler, J Jonides",2014,Jun,Psychological Science,25,6,1227-34,10.1177/0956797614526415
13-6-2014,Gratitude: a tool for reducing economic impatience.,"D DeSteno, Y Li, L Dickens, JS Lerner",2014,Jun,Psychological Science,25,6,1262–1267,10.1177/0956797614529979
19-6-2014,"Yes, but don't underestimate estimation: reply to morey, rouder, verhagen, and wagenmakers (2014).","F Fidler, G Cumming",2014,Jun,Psychological Science,25,6,1291–1292,10.1177/0956797614532658
5-6-2014,Speakers' acceptance of real-time speech exchange indicates that we use auditory feedback to specify the meaning of what we say.,"A Lind, L Hall, B Breidegard, C Balkenius, P Johansson",2014,Jun,Psychological Science,25,6,1198-205,10.1177/0956797614529797
8-3-2014,A lack of material resources causes harsher moral judgments.,"M Pitesa, S Thau",2014,Mar,Psychological Science,25,3,702-10,10.1177/0956797613514092
25-3-2014,Preverbal infants are sensitive to cross-sensory correspondences: much ado about the null results of Lewkowicz and Minar (2014).,"P Walker, JG Bremner, U Mason, J Spring, K Mattock, A Slater, SP Johnson",2014,Mar,Psychological Science,25,3,835-6,10.1177/0956797613520170
16-3-2014,Staying the course: the option of doing nothing and its impact on postchoice persistence.,"RY Schrift, JR Parker",2014,Mar,Psychological Science,25,3,772-80,10.1177/0956797613516801
17-3-2014,Positive and negative correlations between confidence and accuracy for the same events in recognition of categorized lists.,"KA Desoto, HL Roediger",2014,Mar,Psychological Science,25,3,781-8,10.1177/0956797613516149
12-3-2014,"Cognitive skills, student achievement tests, and schools.","AS Finn, MA Kraft, MR West, JA Leonard, CE Bish, RE Martin, MA Sheridan, CF Gabrieli, JD Gabrieli",2014,Mar,Psychological Science,25,3,736-44,10.1177/0956797613516008
1-3-2014,Improving students' long-term knowledge retention through personalized review.,"RV Lindsey, JD Shroyer, H Pashler, MC Mozer",2014,Mar,Psychological Science,25,3,639-47,10.1177/0956797613504302
19-3-2014,Two faces of shame: the roles of shame and guilt in predicting recidivism.,"JP Tangney, J Stuewig, AG Martinez",2014,Mar,Psychological Science,25,3,799-805,10.1177/0956797613508790
24-3-2014,Infants are not sensitive to synesthetic cross-modality correspondences: a comment on Walker et al. (2010).,"DJ Lewkowicz, NJ Minar",2014,Mar,Psychological Science,25,3,832-4,10.1177/0956797613516011
15-3-2014,Geographical differences in subjective well-being predict extraordinary altruism.,"KM Brethel-Haurwitz, AA Marsh",2014,Mar,Psychological Science,25,3,762-71,10.1177/0956797613516148
21-3-2014,Biased predecisional processing of leading and nonleading alternatives.,"SJ Blanchard, KA Carlson, MG Meloy",2014,Mar,Psychological Science,25,3,812-6,10.1177/0956797613512663
7-3-2014,Improvement in spatial imagery following sight onset late in childhood.,"TK Gandhi, S Ganesh, P Sinha",2014,Mar,Psychological Science,25,3,693-701,10.1177/0956797613513906
27-3-2014,"Reducing prejudice through mental imagery: notes on replication, interpretation, and generalization.","RJ Crisp, MD Birtel",2014,Mar,Psychological Science,25,3,840-1,10.1177/0956797613520169
22-3-2014,The scent of disease: human body odor contains an early chemosensory cue of sickness.,"MJ Olsson, JN Lundstrí_m, BA Kimball, AR Gordon, B Karshikoff, N Hosseini, K Sorjonen, C Olgart Hí_glund, C Solares, A Soop, J Axelsson, M Lekander",2014,Mar,Psychological Science,25,3,817-23,10.1177/0956797613515681
20-3-2014,Judging a man by the width of his face: the role of facial ratios and dominance in mate choice at speed-dating events.,"KA Valentine, NP Li, L Penke, DI Perrett",2014,Mar,Psychological Science,25,3,806-11,10.1177/0956797613511823
18-3-2014,"Children's arithmetic development: it is number knowledge, not the approximate number sense, that counts.","SM Gí_bel, SE Watson, A Lerví«g, C Hulme",2014,Mar,Psychological Science,25,3,789-98,10.1177/0956797613516471
5-3-2014,Feeling the conflict: the crucial role of conflict experience in adaptation.,"K Desender, F Van Opstal, E Van den Bussche",2014,Mar,Psychological Science,25,3,675-83,10.1177/0956797613511468
13-3-2014,Optical origins of opposing facial expression actions.,"DH Lee, R Mirza, JG Flanagan, AK Anderson",2014,Mar,Psychological Science,25,3,745-52,10.1177/0956797613514451
3-3-2014,Gossip and ostracism promote cooperation in groups.,"M Feinberg, R Willer, M Schultz",2014,Mar,Psychological Science,25,3,656-64,10.1177/0956797613510184
2-3-2014,Tainted altruism: when doing some good is evaluated as worse than doing no good at all.,"GE Newman, DM Cain",2014,Mar,Psychological Science,25,3,648-55,10.1177/0956797613504785
23-3-2014,The attentional blink reveals the probabilistic nature of discrete conscious perception.,"CL Asplund, D Fougnie, S Zughni, JW Martin, R Marois",2014,Mar,Psychological Science,25,3,824-31,10.1177/0956797613513810
6-3-2014,Mismatch or cumulative stress: the pathway to depression is conditional on attention style.,"E Nederhof, J Ormel, AJ Oldehinkel",2014,Mar,Psychological Science,25,3,684-92,10.1177/0956797613513473
9-3-2014,Racial bias shapes social reinforcement learning.,"B Lindstrí_m, I Selbing, T Molapour, A Olsson",2014,Mar,Psychological Science,25,3,711-9,10.1177/0956797613514093
14-3-2014,"Assessing ""economic value"": symbolic-number mappings predict risky and riskless valuations.","DR Schley, E Peters",2014,Mar,Psychological Science,25,3,753-61,10.1177/0956797613515485
4-3-2014,Neighborhood ethnic diversity and trust: the role of intergroup contact and perceived threat.,"K Schmid, A Al Ramiah, M Hewstone",2014,Mar,Psychological Science,25,3,665-74,10.1177/0956797613508956
26-3-2014,Treating prejudice with imagery: easier said than done?,"MM McDonald, MB Donnellan, R Lang, K Nikolajuk",2014,Mar,Psychological Science,25,3,837-9,10.1177/0956797613516010
12-5-2014,Fertility can have different effects on single and nonsingle women: reply to Harris and Mickes (2014).,"KM Durante, AR Arsena, V Griskevicius",2014,May,Psychological Science,25,5,1150–1152,10.1177/0956797614524422
5-5-2014,Some evidence for unconscious lie detection.,"L Ten Brinke, D Stimson, DR Carney",2014,May,Psychological Science,25,5,1098-105,10.1177/0956797614524421
7-5-2014,Positive affect and cognitive control: approach-motivation intensity influences the balance between cognitive flexibility and stability.,"Y Liu, Z Wang",2014,May,Psychological Science,25,5,1116-23,10.1177/0956797614525213
8-5-2014,Physiological and behavioral responses reveal 9-month-old infants' sensitivity to pleasant touch.,"MT Fairhurst, L Lí_ken, T Grossmann",2014,May,Psychological Science,25,5,1124-31,10.1177/0956797614527114
1-5-2014,Categorical interoception: perceptual organization of sensations from inside.,"S Petersen, M Schroijen, C Mí_lders, S Zenker, O Van den Bergh",2014,May,Psychological Science,25,5,1059-66,10.1177/0956797613519110
3-5-2014,Facial movements strategically camouflage involuntary social signals of face morphology.,"D Gill, OG Garrod, RE Jack, PG Schyns",2014,May,Psychological Science,25,5,1079-86,10.1177/0956797614522274
4-5-2014,Beyond gist: strategic and incremental information accumulation for scene categorization.,"GL Malcolm, A Nuthmann, PG Schyns",2014,May,Psychological Science,25,5,1087-97,10.1177/0956797614522816
9-5-2014,Inferring character from faces: a developmental study.,"EJ Cogsdill, AT Todorov, ES Spelke, MR Banaji",2014,May,Psychological Science,25,5,1132–1139,10.1177/0956797614523297
2-5-2014,Feature-binding errors after eye movements and shifts of attention.,"JD Golomb, ZE L'heureux, N Kanwisher",2014,May,Psychological Science,25,5,1067-78,10.1177/0956797614522068
6-5-2014,Psychological strategies for winning a geopolitical forecasting tournament.,"B Mellers, L Ungar, J Baron, J Ramos, B Gurcay, K Fincher, SE Scott, D Moore, P Atanasov, SA Swift, T Murray, E Stone, PE Tetlock",2014,May,Psychological Science,25,5,1106-15,10.1177/0956797614524255
18-11-2014,No conclusive evidence for numerical priming under interocular suppression.,"G Hesselmann, A Knops",2014,Nov,Psychological Science,25,11,2116–2119,10.1177/0956797614548876
12-11-2014,Evidence for hand-size constancy: the dominant hand as a natural perceptual metric.,"SA Linkenauger, MN Geuss, JK Stefanucci, M Leyrer, BH Richardson, DR Proffitt, HH Bí_lthoff, BJ Mohler",2014,Nov,Psychological Science,25,11,2086-94,10.1177/0956797614548875
2-11-2014,Value-driven attentional capture in adolescence.,"ZJ Roper, SP Vecera, JG Vaidya",2014,Nov,Psychological Science,25,11,1987-93,10.1177/0956797614545654
9-11-2014,Filling the gap: relationship between the serotonin-transporter-linked polymorphic region and amygdala activation.,"JA Bastiaansen, MN Servaas, JB Marsman, J Ormel, IM Nolte, H Riese, A Aleman",2014,Nov,Psychological Science,25,11,2058-66,10.1177/0956797614548877
16-11-2014,"Right-oriented bias: a comment on Roskes, Sligte, Shalvi, and De Dreu (2011).","J Price, J Wolfers",2014,Nov,Psychological Science,25,11,2109–2111,10.1177/0956797614536738
4-11-2014,Multisensory integration in complete unawareness: evidence from audiovisual congruency priming.,"N Faivre, L Mudrik, N Schwartz, C Koch",2014,Nov,Psychological Science,25,11,2006-16,10.1177/0956797614547916
13-11-2014,Social-network complexity in humans is associated with the neural response to social information.,"SL Dziura, JC Thompson",2014,Nov,Psychological Science,25,11,2095-101,10.1177/0956797614549209
7-11-2014,The invariance problem in infancy: a pupillometry study.,"JR Hochmann, L Papeo",2014,Nov,Psychological Science,25,11,2038-46,10.1177/0956797614547918
3-11-2014,"Detecting knowledge of incidentally acquired, real-world memories using a P300-based concealed-information test.","JB Meixner, JP Rosenfeld",2014,Nov,Psychological Science,25,11,1994-2005,10.1177/0956797614547278
1-11-2014,Replicability and robustness of genome-wide-association studies for behavioral traits.,"CA Rietveld, D Conley, N Eriksson, T Esko, SE Medland, AA Vinkhuyzen, J Yang, JD Boardman, CF Chabris, CT Dawes, BW Domingue, DA Hinds, M Johannesson, AK Kiefer, D Laibson, PK Magnusson, JL Mountain, S Oskarsson, O Rostapshova, A Teumer, JY Tung, PM Visscher, DJ Benjamin, D Cesarini, PD Koellinger, [plus other nonstandard author]",2014,Nov,Psychological Science,25,11,1975-86,10.1177/0956797614545132
6-11-2014,Making working memory work: a meta-analysis of executive-control and working memory training in older adults.,"J Karbach, P Verhaeghen",2014,Nov,Psychological Science,25,11,2027-37,10.1177/0956797614548725
17-11-2014,Does approach motivation induce right-oriented bias? Reply to Price and Wolfers (2014).,"M Roskes, D Sligte, S Shalvi, CK De Dreu",2014,Nov,Psychological Science,25,11,2112–2115,10.1177/0956797614547919
5-11-2014,State and trait effects on individual differences in children's mathematical development.,"DH Bailey, TW Watts, AK Littlefield, DC Geary",2014,Nov,Psychological Science,25,11,2017-26,10.1177/0956797614547539
14-11-2014,Endogenous cortisol predicts decreased loss aversion in young men.,"JR Chumbley, I Krajbich, JB Engelmann, E Russell, S Van Uum, G Koren, E Fehr",2014,Nov,Psychological Science,25,11,2102–2105,10.1177/0956797614546555
15-11-2014,Anchoring the self to the body: vestibular contribution to the sense of self.,"ER FerríÂ, C Lopez, P Haggard",2014,Nov,Psychological Science,25,11,2106–2108,10.1177/0956797614547917
8-11-2014,"Gross domestic product, science interest, and science achievement: a person í„ nation interaction.","EM Tucker-Drob, AK Cheung, DA Briley",2014,Nov,Psychological Science,25,11,2047-57,10.1177/0956797614548726
15-10-2014,Wanted: direct comparisons of unconscious and conscious lie detection.,"L ten Brinke, DR Carney",2014,Oct,Psychological Science,25,10,1962–1963,10.1177/0956797614544308
13-10-2014,Asymmetrical social mach bands: exaggeration of social identities on the more esteemed side of group borders.,"P Rozin, SE Scott, HF Zickgraf, F Ahn, H Jiang",2014,Oct,Psychological Science,25,10,1955–1959,10.1177/0956797614545131
6-10-2014,Early experience affects the strength of vigilance for threat in rhesus monkey infants.,"TM Mandalaywala, KJ Parker, D Maestripieri",2014,Oct,Psychological Science,25,10,1893-902,10.1177/0956797614544175
1-10-2014,Genes influence young children's human figure drawings and their association with intelligence a decade later.,"R Arden, M Trzaskowski, V Garfield, R Plomin",2014,Oct,Psychological Science,25,10,1843-50,10.1177/0956797614540686
3-10-2014,"Learned helplessness and learned prevalence: exploring the causal relations among perceived controllability, reward prevalence, and exploration.","K Teodorescu, I Erev",2014,Oct,Psychological Science,25,10,1861–1869,10.1177/0956797614543022
14-10-2014,"Direct and indirect measures of lie detection tell the same story: a reply to ten Brinke, Stimson, and Carney (2014).","TR Levine, CF Bond",2014,Oct,Psychological Science,25,10,1960–1961,10.1177/0956797614536740
17-10-2014,Unconscious repressed memory is scientifically questionable.,"L Patihis, SO Lilienfeld, LY Ho, EF Loftus",2014,Oct,Psychological Science,25,10,1967–1968,10.1177/0956797614547365
8-10-2014,"Declines in trust in others and confidence in institutions among American adults and late adolescents, 1972-2012.","JM Twenge, WK Campbell, NT Carter",2014,Oct,Psychological Science,25,10,1914-23,10.1177/0956797614545133
7-10-2014,Perceiving crowd attention: ensemble perception of a crowd's gaze.,"TD Sweeny, D Whitney",2014,Oct,Psychological Science,25,10,1903-13,10.1177/0956797614544510
2-10-2014,"A ""present"" for the future: the unexpected value of rediscovery.","T Zhang, T Kim, AW Brooks, F Gino, MI Norton",2014,Oct,Psychological Science,25,10,1851-60,10.1177/0956797614542274
5-10-2014,Gaze following is accelerated in healthy preterm infants.,"M Peí±a, D Arias, G Dehaene-Lambertz",2014,Oct,Psychological Science,25,10,1884-92,10.1177/0956797614544307
16-10-2014,"Why it is scientifically respectable to believe in repression: a response to Patihis, Ho, Tingen, Lilienfeld, and Loftus (2014).","CR Brewin, B Andrews",2014,Oct,Psychological Science,25,10,1964–1966,10.1177/0956797614541856
9-10-2014,Waiting for Merlot: anticipatory consumption of experiential and material purchases.,"A Kumar, MA Killingsworth, T Gilovich",2014,Oct,Psychological Science,25,10,1924-31,10.1177/0956797614546556
4-10-2014,White matter morphometric changes uniquely predict children's reading acquisition.,"CA Myers, M Vandermosten, EA Farris, R Hancock, P Gimenez, JM Black, B Casto, M Drahos, M Tumber, RL Hendren, C Hulme, F Hoeft",2014,Oct,Psychological Science,25,10,1870-83,10.1177/0956797614544511
12-10-2014,Racial disparities in incarceration increase acceptance of punitive policies.,"RC Hetey, JL Eberhardt",2014,Oct,Psychological Science,25,10,1949-54,10.1177/0956797614540307
13-9-2014,The spontaneous formation of stereotypes via cumulative cultural evolution.,"D Martin, J Hutchison, G Slessor, J Urquhart, SJ Cunningham, K Smith",2014,Sep,Psychological Science,25,9,1777-86,10.1177/0956797614541129
20-9-2014,Lip reading without awareness.,"J Plass, E Guzman-Martinez, L Ortega, M Grabowecky, S Suzuki",2014,Sep,Psychological Science,25,9,1835–1837,10.1177/0956797614542132
7-9-2014,Peer effects in early childhood education: testing the assumptions of special-education inclusion.,"LM Justice, JA Logan, TJ Lin, JN Kaderavek",2014,Sep,Psychological Science,25,9,1722–1729,10.1177/0956797614538978
12-9-2014,Don't look at my answer: subjective uncertainty underlies preschoolers' exclusion of their least accurate memories.,"E Hembacher, S Ghetti",2014,Sep,Psychological Science,25,9,1768-76,10.1177/0956797614542273
1-9-2014,Utilizing signal detection theory.,"SK Lynn, LF Barrett",2014,Sep,Psychological Science,25,9,1663-73,10.1177/0956797614541991
5-9-2014,In search of Homo economicus.,"T Yamagishi, Y Li, H Takagishi, Y Matsumoto, T Kiyonari",2014,Sep,Psychological Science,25,9,1699-711,10.1177/0956797614538065
18-9-2014,"Healthy, wealthy, and wise: retirement planning predicts employee health improvements.","T Gubler, L Pierce",2014,Sep,Psychological Science,25,9,1822-30,10.1177/0956797614540467
16-9-2014,"The rules of implicit evaluation by race, religion, and age.","JR Axt, CR Ebersole, BA Nosek",2014,Sep,Psychological Science,25,9,1804-15,10.1177/0956797614543801
19-9-2014,Illusory motion of the motion aftereffect induces postural sway.,"V Holten, MJ van der Smagt, SF Donker, FA Verstraten",2014,Sep,Psychological Science,25,9,1831–1834,10.1177/0956797614540177
8-9-2014,Infants track the reliability of potential informants.,"KS Tummeltshammer, R Wu, DM Sobel, NZ Kirkham",2014,Sep,Psychological Science,25,9,1730–1738,10.1177/0956797614540178
3-9-2014,"When you think about it, your past is in front of you: how culture shapes spatial conceptions of time.","J de la Fuente, J Santiago, A Romíçn, C Dumitrache, D Casasanto",2014,Sep,Psychological Science,25,9,1682-90,10.1177/0956797614534695
4-9-2014,Great apes generate goal-based action predictions: an eye-tracking study.,"F Kano, J Call",2014,Sep,Psychological Science,25,9,1691–1698,10.1177/0956797614536402
15-9-2014,Practice does not make perfect: no causal effect of music practice on music ability.,"MA Mosing, G Madison, NL Pedersen, R Kuja-Halkola, F Ullén",2014,Sep,Psychological Science,25,9,1795-803,10.1177/0956797614541990
9-9-2014,When knowledge is demotivating: subjective knowledge and choice overload.,"L Hadar, S Sood",2014,Sep,Psychological Science,25,9,1739-47,10.1177/0956797614539165
14-9-2014,What types of terms do people use when describing an individual's personality?,"D Leising, J Scharloth, O Lohse, D Wood",2014,Sep,Psychological Science,25,9,1787-94,10.1177/0956797614541285
17-9-2014,Stimulus typicality determines how broadly fear is generalized.,"JE Dunsmoor, GL Murphy",2014,Sep,Psychological Science,25,9,1816-21,10.1177/0956797614535401
6-9-2014,Young children bet on their numerical skills: metacognition in the numerical domain.,"VA Vo, R Li, N Kornell, A Pouget, JF Cantlon",2014,Sep,Psychological Science,25,9,1712-21,10.1177/0956797614538458
2-9-2014,Sleep deprivation and false memories.,"SJ Frenda, L Patihis, EF Loftus, HC Lewis, KM Fenn",2014,Sep,Psychological Science,25,9,1674-81,10.1177/0956797614534694
16-4-2015,Body weight misperception in adolescence and incident obesity in young adulthood.,"AR Sutin, A Terracciano",2015,Apr,Psychological Science,26,4,507-11,10.1177/0956797614566319
18-4-2015,"Two languages, two minds: flexible cognitive processing driven by language of operation.","P Athanasopoulos, E Bylund, G Montero-Melis, L Damjanovic, A Schartner, A Kibbe, N Riches, G Thierry",2015,Apr,Psychological Science,26,4,518-26,10.1177/0956797614567509
25-4-2015,The impact of literacy on position uncertainty.,"JA Duí±abeitia, M Lallier, PM Paz-Alonso, M Carreiras",2015,Apr,Psychological Science,26,4,548-50,10.1177/0956797615569890
7-4-2015,Chinese kindergartners learn to read characters analytically.,"L Yin, C McBride",2015,Apr,Psychological Science,26,4,424-32,10.1177/0956797614567203
8-4-2015,When does cognitive functioning peak? The asynchronous rise and fall of different cognitive abilities across the life span.,"JK Hartshorne, LT Germine",2015,Apr,Psychological Science,26,4,433-43,10.1177/0956797614567339
12-4-2015,Narrating the generative life.,"DP McAdams, J Guo",2015,Apr,Psychological Science,26,4,475-83,10.1177/0956797614568318
21-4-2015,Assessing the robustness of the relationship between entering adulthood in a recession and narcissism.,EC Bianchi,2015,Apr,Psychological Science,26,4,537-8,10.1177/0956797614568157
15-4-2015,Young children show the bystander effect in helping situations.,"M Plí_tner, H Over, M Carpenter, M Tomasello",2015,Apr,Psychological Science,26,4,499-506,10.1177/0956797615569579
14-4-2015,Bilingualism modulates infants' selective attention to the mouth of a talking face.,"F Pons, L Bosch, DJ Lewkowicz",2015,Apr,Psychological Science,26,4,490-8,10.1177/0956797614568320
13-4-2015,An event-based account of conformity.,"D Kim, B Hommel",2015,Apr,Psychological Science,26,4,484-9,10.1177/0956797614568319
3-4-2015,Bogus visual feedback alters onset of movement-evoked pain in people with neck pain.,"DS Harvie, M Broecker, RT Smith, A Meulders, VJ Madden, GL Moseley",2015,Apr,Psychological Science,26,4,385-92,10.1177/0956797614563339
22-4-2015,Relevant and robust: a response to marcus and davis (2013).,"ND Goodman, MC Frank, TL Griffiths, JB Tenenbaum, PW Battaglia, JB Hamrick",2015,Apr,Psychological Science,26,4,539-41,10.1177/0956797614559544
9-4-2015,Aggressive-antisocial boys develop into physically strong young men.,"JD Isen, MK McGue, WG Iacono",2015,Apr,Psychological Science,26,4,444-55,10.1177/0956797614567718
17-4-2015,Illusory feature slowing: evidence for perceptual models of global facial change.,"R Cook, C Aichelburg, A Johnston",2015,Apr,Psychological Science,26,4,512-7,10.1177/0956797614567340
19-4-2015,Income inequality and status seeking: searching for positional goods in unequal u.s. States.,"L Walasek, GD Brown",2015,Apr,Psychological Science,26,4,527-33,10.1177/0956797614567511
6-4-2015,Perceptions of U.S. Social Mobility Are Divided (and Distorted) Along Ideological Lines.,"JR Chambers, LK Swan, M Heesacker",2015,Apr,Psychological Science,26,4,413-23,10.1177/0956797614566657
2-4-2015,Anticipating divine protection? Reminders of god can increase nonmoral risk taking.,"DM Kupor, K Laurin, J Levav",2015,Apr,Psychological Science,26,4,374-84,10.1177/0956797614563108
20-4-2015,Does entering adulthood in a recession affect narcissism? Robust evidence is still needed.,J Fletcher,2015,Apr,Psychological Science,26,4,534-6,10.1177/0956797614558719
4-4-2015,A lack of experience-dependent plasticity after more than a decade of recovered sight.,"E Huber, JM Webster, AA Brewer, DI MacLeod, BA Wandell, GM Boynton, AR Wade, I Fine",2015,Apr,Psychological Science,26,4,393-401,10.1177/0956797614563957
5-4-2015,Scarcity frames value.,"AK Shah, E Shafir, S Mullainathan",2015,Apr,Psychological Science,26,4,402-12,10.1177/0956797614563958
1-4-2015,"Sadness shifts to anxiety over time and distance from the national tragedy in newtown, connecticut.","B Doré, L Ort, O Braverman, KN Ochsner",2015,Apr,Psychological Science,26,4,363-73,10.1177/0956797614562218
23-4-2015,Still searching for principles: a response to goodman et Al. (2015).,"GF Marcus, E Davis",2015,Apr,Psychological Science,26,4,542-4,10.1177/0956797614568433
24-4-2015,"In defense of position uncertainty: a reply to duí±abeitia, orihuela, and carreiras (2014).","M Perea, H Winskel, RA Mallouh, L Barnes, P Gomez",2015,Apr,Psychological Science,26,4,545-7,10.1177/0956797614566468
5-2-2015,Psychological language on Twitter predicts county-level heart disease mortality.,"JC Eichstaedt, HA Schwartz, ML Kern, G Park, DR Labarthe, RM Merchant, S Jha, M Agrawal, LA Dziurzynski, M Sap, C Weeg, EE Larson, LH Ungar, ME Seligman",2015,Feb,Psychological Science,26,2,159-69,10.1177/0956797614557867
1-2-2015,Targeted rejection predicts decreased anti-inflammatory gene expression and increased symptom severity in youth with asthma.,"ML Murphy, GM Slavich, E Chen, GE Miller",2015,Feb,Psychological Science,26,2,111-21,10.1177/0956797614556320
2-2-2015,Dietary self-control is related to the speed with which attributes of healthfulness and tastiness are processed.,"N Sullivan, C Hutcherson, A Harris, A Rangel",2015,Feb,Psychological Science,26,2,122-34,10.1177/0956797614559543
3-2-2015,Does hugging provide stress-buffering social support? A study of susceptibility to upper respiratory infection and illness.,"S Cohen, D Janicki-Deverts, RB Turner, WJ Doyle",2015,Feb,Psychological Science,26,2,135-47,10.1177/0956797614559284
17-2-2015,Examining the link between conception risk and intergroup bias: the importance of conceptual coherence.,"MM McDonald, CD Navarrete",2015,Feb,Psychological Science,26,2,253-5,10.1177/0956797614562863
4-2-2015,Paradoxical benefits of dual-task contexts for visuomotor memory.,"JH Song, P Bédard",2015,Feb,Psychological Science,26,2,148-58,10.1177/0956797614557868
12-2-2015,How will I be remembered? Conserving the environment for the sake of one's legacy.,"L Zaval, EM Markowitz, EU Weber",2015,Feb,Psychological Science,26,2,231-6,10.1177/0956797614561266
7-2-2015,Saving-enhanced memory: the benefits of saving on the learning and remembering of new information.,"BC Storm, SM Stone",2015,Feb,Psychological Science,26,2,182-8,10.1177/0956797614559285
14-2-2015,"Commentary on kubota, li, bar-david, banaji, and phelps (2013): a more optimistic view of the data.",HR Arkes,2015,Feb,Psychological Science,26,2,243-5,10.1177/0956797614543692
9-2-2015,Amnesia for object attributes: failure to report attended information that had just reached conscious awareness.,"H Chen, B Wyble",2015,Feb,Psychological Science,26,2,203-10,10.1177/0956797614560648
16-2-2015,In search of an association between conception risk and prejudice.,"CB Hawkins, CE Fitzgerald, BA Nosek",2015,Feb,Psychological Science,26,2,249-52,10.1177/0956797614553121
6-2-2015,Anchors weigh more than power: why absolute powerlessness liberates negotiators to achieve better outcomes.,"M Schaerer, RI Swaab, AD Galinsky",2015,Feb,Psychological Science,26,2,170-81,10.1177/0956797614558718
15-2-2015,All claims in the original article hold as stated: a response to Arkes (2015).,"JT Kubota, J Li, E Bar-David, MR Banaji, EA Phelps",2015,Feb,Psychological Science,26,2,246-8,10.1177/0956797614561045
13-2-2015,The size-weight illusion induced through human echolocation.,"G Buckingham, JL Milne, CM Byrne, MA Goodale",2015,Feb,Psychological Science,26,2,237-42,10.1177/0956797614561267
8-2-2015,The unthinking or confident extremist? Political extremists are more likely than moderates to reject experimenter-generated anchors.,"MJ Brandt, AM Evans, JT Crawford",2015,Feb,Psychological Science,26,2,189-202,10.1177/0956797614559730
4-1-2015,What is typical is good: the influence of face typicality on perceived trustworthiness.,"C Sofer, R Dotsch, DH Wigboldus, A Todorov",2015,Jan,Psychological Science,26,1,39-47,10.1177/0956797614554955
8-1-2015,Paternal antisocial behavior and sons' cognitive ability: a population-based quasiexperimental study.,"A Latvala, R Kuja-Halkola, N Lí«ngstrí_m, P Lichtenstein",2015,Jan,Psychological Science,26,1,78-88,10.1177/0956797614555726
6-1-2015,Differences in the effects of crowding on size perception and grip scaling in densely cluttered 3-D scenes.,"J Chen, I Sperandio, MA Goodale",2015,Jan,Psychological Science,26,1,58-69,10.1177/0956797614556776
