article_id_number,no_of_experiments,subfield,type_of_article,type_of_article_other,participants,participants_other,age,brain_beh,topic,topic_other,data_badge,data_statement_present,data_statement_indicates,data_quote,data_page_no,data_accessible,data_accessible_other,dataset_URL,type_of_data_repo,type_of_data_repo_other,which_data_repo,which_data_repo_other,dataset_URL_working,data_locatable,data_downloadable,data_correspond,data_complete,software,type_of_software,type_of_software_other,data_codebook,data_scripts,data_other_info,materials_badge,materials_statement_present,materials_statement_indicates,materials_quote,materials_page_no,materials_accessible,materials_accessible_other,materials_URL,type_of_materials_repo,type_of_materials_repo_other,which_materials_repo,which_materials_repo_other,materials_URL_working,materials_locatable,materials_downloadable,materials_correspond,materials_complete,materials_explanation,materials_other_info,supplemental_info,URL_supplemental_info,open_data_score,open_materials_score
2019-30-9-1273,5 or more,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,"All data, stimuli, and analysis code have been made publicly available via the Open Science Framework and can be accessed at osf.io/4r9zs.",1285,Public dataset generated by the authors,NA,osf.io/4r9zs,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,Yes,Yes,NA,Yes,Yes,Available,"All data, stimuli, and analysis code have been made publicly available via the Open Science Framework and can be accessed at osf.io/4r9zs",1285,Public set of materials generated by authors,NA,osf.io/4r9zs,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619854975,25,19
2019-30-10-1547,4,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,Yes,Available,"Data and materials for this study have been made publicly available, and the design and analysis plans were not preregistered.",1555,Not clear,NA,none provided,Other (please specify):,no URL provided,NA,NA,No,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Available,"Data and materials for this study have been made publicly available, and the design and analysis plans were not preregistered.",1555,Not clear,NA,non provided,Other (please specify):,no URL provided,NA,NA,No,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619872749,2,2
2019-30-11-1592,2,Behavioural Neuroscience,NA,NA,Animals,NA,NA,NA,NA,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at osf.io/ uqmh4/,1601,Public dataset generated by the authors,NA,osf.io/ uqmh4/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,No,No,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at osf.io/ uqmh4/.,1601,Public set of materials generated by authors,NA,osf.io/ uqmh4/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619868998,14,14
2019-30-12-1767,4,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https:// osf.io/ry75j.,1778,Public dataset generated by the authors,NA,https:// osf.io/ry75j.,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https:// osf.io/ry75j.,1778,Public set of materials generated by authors,NA,https:// osf.io/ry75j,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619884324,19,14
2019-30-8-1136,2,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,Anonymized data for all main studies and pilot studies along with data-analysis scripts have been made publicly available via the Open Science Framework,1148,Public dataset generated by the authors,NA,https:// osf.io/96s4v/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,Yes,Yes,NA,Yes,Yes,Available,The linguistic analyses and full message texts are available in the Supplemental Material.,1139,Other (please specify):,Supplementary Materials,https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619854706,Other (please specify):,PDF document,NA,NA,Yes,Yes,Yes,Yes,Unclear whether or not all the materials are available,Yes,No,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619854706,25,17
2019-30-8-1151,3,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data and analysis code for Studies 1 to 3 have been made publicly available via the Open Science Framework,1159,Public dataset generated by the authors,NA,https://osf.io/zxp9k/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,No,Yes,No,Yes,Yes,Available,"All stimuli can be found in Tables 1 and 2 of this article, and all rating and attention-check questions can be found in the main text.",1159,Other (please specify):,In the article,https://journals.sagepub.com/doi/10.1177/0956797619855382,Other (please specify):,The article,NA,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619855382,19,19
2019-30-8-1161,1,Social Psychology,NA,NA,Humans,NA,All other ages,Both,"Emotion, personality, social behaviour",NA,No,Yes,Unavailable,Data for this study are available from the corresponding author on request.,1171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Matlab,NA,NA,NA,NA,No,Yes,Unavailable,Materials have not been made publicly available,1171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619851753,2,1
2019-30-8-1174,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,Both sensation (vision) and cognition,Yes,Yes,Available,Anonymized data for both experiments and MATLAB source code have been made publicly available via the Open Science Framework,1184,Public dataset generated by the authors,NA,https://osf.io/zucn5,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Unclear,"Yes, all of the data appear to be available",Yes,Matlab,NA,No,Yes,Summary data,Yes,Yes,Available,Anonymized data for both experiments and MATLAB source code have been made publicly available via the Open Science Framework,1184,Public set of materials generated by authors,NA,https://osf.io/zucn5/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619855964,18,14
2019-30-8-1186,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,Developmental and Social,No,Yes,Available,The National Longitudinal Study of Adolescent to Adult Health data files used for the present study are available on the Add Health website,1192,Public dataset generated by others,NA,https://addhealth.cpc.unc.edu/,Other (please specify):,US Government site,NA,NA,Yes,Requires permission,NA,NA,NA,Yes,Other (please specify):,Stata,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,8,0
2019-30-10-1483,5 or more,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,No,Yes,Unavailable,Data and materials for these experiments have not been made publicly available but can be requested from the corresponding author.,1495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,Data and materials for these experiments have not been made publicly available but can be requested from the corresponding author.,1495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,1,1
2019-30-10-1522,2,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered.",1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Matlab,NA,NA,NA,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered.",1530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619869337,2,1
2020-31-5-592,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data from this study have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/ea67f/.,601,Public dataset generated by the authors,NA,https://osf.io/ea67f/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,Yes,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797620910993,24,0
2020-31-9-1191,1,Perception,NA,NA,Humans,NA,All other ages,Both,Sensation,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered.",1198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered.",1198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797620939588,1,1
2019-30-8-1195,5 or more,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,"consensus, social behaviour, decision making",Yes,Yes,Available,all data and materials have been made publicly available via the open science framework and can be accessed at,1203,Public dataset generated by the authors,NA,https://osf.io/8er9d/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Unclear,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,NA,Yes,Yes,Available,all data and materials have been made publicly available via the open science framework and can be accessed at,1203,Public set of materials generated by authors,NA,https://osf.io/qgsh8/files/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,NA,No,NA,17,19
2020-31-11-1351,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,Yes,Unavailable,"Because of rules for data processing at Statistics Denmark, we are not allowed to share the data set. However, access to the data can be requested via e-mail to the corresponding author.",1360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,R,NA,NA,NA,NA,Yes,Yes,Available,R code for this study has been made publicly available via the Open Science Framework,1360,Public set of materials generated by authors,NA,https://osf.io/b83av,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797620956613,2,14
2020-31-11-1363,4,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,"All data, analysis code, and materials have been made publicly available via OSF",1371,Public dataset generated by the authors,NA,https://osf.io/pq3ky/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,No,No,Unclear whether scripts or codebook were available because some files were in formats that my machine could not read,Yes,Yes,Available,"All data, analysis code, and materials have been made publicly available via OSF",1371,Other (please specify):,Supplementary Materials,https://osf.io/6u54h/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,"Additional measures, results and discussion",No,NA,14,19
2020-31-11-1374,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data and materials have been made publicly available via OSF,1384,Public dataset generated by the authors,NA,https://osf.io/h7uqv/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,Yes,No,No,Yes,Yes,Available,All data and materials have been made publicly available via OSF,1384,Public set of materials generated by authors,NA,https://osf.io/h7uqv/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, but only some of the materials are available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620967261,20,13
2020-31-11-1386,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,Emotion and memory,Yes,Yes,Available,Data for the present research were taken from the Midlife in the United States (MIDUS) study and are publicly available,1393,Public dataset generated by others,NA,http://midus.wisc.edu/data/index.php,Other (please specify):,Government website,NA,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620953883,19,0
2020-31-11-1396,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,All data and analysis code have been made publicly available via OSF,1407,Public dataset generated by the authors,NA,https://osf.io/e72ka,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,No,Yes,No,Yes,Yes,Available,Study materials are available on OSF,1398,Public set of materials generated by authors,NA,https://osf.io/ e72ka/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620954449,20,14
2020-31-11-1409,1,Cognition,NA,NA,Humans,NA,All other ages,Both,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,"All data, materials, and scripts have been made publicly available via OSF",1420,Public dataset generated by the authors,NA,https://osf.io/ nrhu2/,Independent archive/repository,NA,OSF,NA,Yes,No,NA,NA,NA,Yes,Other (please specify):,"R, JASP, Matlab",NA,NA,NA,Yes,Yes,Available,"All data, materials, and scripts have been made publicly available via OSF",1420,Public set of materials generated by authors,NA,https://osf.io/nrhu2/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620958650,7,19
2020-31-11-1422,5 or more,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,All data have been made publicly available via OSF,1428,Public dataset generated by the authors,NA,https://osf.io/mfzg4/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,19,0
2020-31-11-1430,2,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,"All data, analysis scripts, and modeling results have been made publicly available via OSF",1437,Public dataset generated by the authors,NA,https://osf.io/mjrpy,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,No,No,No,Yes,Yes,Available,(vignettes can be read in Section S1 in the Supplemental Material available online),1433,Other (please specify):,Supplementary Materials,https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797620954492,Other (please specify):,PDF document for each experiment,NA,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620954492,15,14
2020-31-11-1439,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,"All data, analysis code, and code needed to generate the experimental materials have been made publicly available via OSF",1450,Public dataset generated by the authors,NA,https://osf.io/ewjrs/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,Other (please specify):,R and Python,No,Yes,No,Yes,Yes,Available,"All data, analysis code, and code needed to generate the experimental materials have been made publicly available via OSF",1450,Public set of materials generated by authors,NA,https://osf.io/29jhq/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620956315,20,19
2019-30-8-1205,1,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Matlab,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619859340,1,0
2019-30-8-1218,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https:// osf.io/k5b7a/.,1232,Not clear,NA,https://osf.io/pq4ac/,Independent archive/repository,NA,OSF,NA,Yes,No,NA,NA,NA,Yes,R,NA,NA,NA,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https:// osf.io/k5b7a/.,1232,Public set of materials generated by authors,NA,https://osf.io/k5b7a/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619858969/suppl_file/DaiSupplementalMaterial_rev.pdf,5,19
2020-31-11-1452,5 or more,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,Deidentified data and R code for all experiments have been made publicly available via the Open Science Framework,1459,Public dataset generated by the authors,NA,https://osf.io/8h52v,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620953842,20,0
2020-31-11-1461,1,Health Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Fitness, weight, consumption, hormone levels, chemical uptake, sleeping patterns",NA,Yes,Yes,Available,All data and analysis code have been made publicly available via OSF,1468,Public dataset generated by the authors,NA,https://osf.io/k2dbf/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620955209,20,0
2020-31-11-1470,1,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,No,Yes,Available,"Data, stimulus movies, and supplementary material for this study have been made publicly available on OSF",1473,Public dataset generated by the authors,NA,https://doi-org.wwwproxy1.library.unsw.edu.au/10.17605/OSF.IO/QG5YM,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,No,Yes,Available,"Data, stimulus movies, and supplementary material for this study have been made publicly available on OSF",1473,Public set of materials generated by authors,NA,https://osf.io/qg5ym/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,no,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620956986,19,14
2019-30-8-1234,1,Social Psychology,NA,NA,Humans,NA,All other ages,Both,"Emotion, personality, social behaviour",NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered.",1243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,SPSS,NA,NA,NA,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered.",1243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619854735,2,1
2020-31-12-1488,2,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,All data have been made publicly available via OSF,1494,Public dataset generated by the authors,NA,https://osf.io/arjzw/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620966526,19,0
2019-30-8-1245,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,All data have been made publicly available via the Open Science Framework and can be accessed at osf.io/xf7rn,1251,Public dataset generated by the authors,NA,https://osf.io/pz8es/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,No,Yes,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619841265/suppl_file/KievitSupplementalMaterial_rev.pdf,19,0
2020-31-12-1497,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,The data generated and analyzed during the current study are available at OSF,1504,Public dataset generated by the authors,NA,https://osf.io/43hzk,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,Yes,No,No,Yes,Yes,Available,All data and materials have been made publicly available via OSF,1508,Public set of materials generated by authors,NA,https://osf.io/43hzk?mode=&view_only=,Independent archive/repository,NA,OSF,NA,Yes,No,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620972116,20,6
2020-31-1-6,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,"All data, analysis scripts, and materials needed to reproduce this study have been made publicly available via the Open Science Framework and can be accessed at https:// osf.io/udxqp/.",16,Public dataset generated by the authors,NA,https://osf.io/udxqp/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Unclear,Unclear whether or not all the data are available,Yes,Other (please specify):,"Praat for fundamental frequency analyses, all other analyses using matlab (although this is not mentioned)",No,Yes,NA,Yes,Yes,Available,"All data, analysis scripts, and materials needed to reproduce this study have been made publicly available via the Open Science Framework and can be accessed at https:// osf.io/udxqp/",16,Public set of materials generated by authors,NA,https://osf.io/udxqp/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619878698/suppl_file/Piazza_Supplemental_Material.pdf,16,14
2020-31-12-1511,4,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data have been made publicly available via the Open Science Framework,1528,Public dataset generated by the authors,NA,https://osf .io/637sa,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,Yes,Yes,Available,No specific statement,NA,Public set of materials generated by authors,NA,All data have been made publicly available via the Open Science Framework,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620922476,19,19
2020-31-1-18,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf .io/78cqx/.,28,Public dataset generated by the authors,NA,https://osf .io/78cqx/.,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Unclear,Unclear whether or not all the data are available,No,NA,NA,No,Yes,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf .io/78cqx/.,28,Public set of materials generated by authors,NA,https://osf .io/78cqx/.,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,NA,"Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619879139,15,14
2020-31-1-31,3,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,Yes,Yes,Available,Individual participant data for all three experiments have been made publicly available on the Open Science Framework at https://osf.io/udrjg/.,41,Public dataset generated by the authors,NA,https://osf.io/udrjg/.,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,NA,No,Yes,Unavailable,Materials have not been made publicly available.,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619886809/suppl_file/Moher_Supplemental_Discussion.pdf,19,1
2020-31-3-227,5 or more,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data and materials have been made publicly available via Open Science Framework and can be accessed at,241,Public dataset generated by the authors,NA,https://osf.io/bnwdv/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,No,Yes,NA,Yes,Yes,Available,All data and materials have been made publicly available via Open Science Framework and can be accessed at,241,Public set of materials generated by authors,NA,https://osf.io/bnwdv/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,NA,"Yes, and it is freely accessible",https://osf.io/bnwdv/,20,14
2020-31-3-268,1,Cognition,NA,NA,Humans,NA,All other ages,Both,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Other (please specify):,Statistical Parametric Mapping,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619896357/suppl_file/Kronke_Supplemental_Material.pdf,2,1
2020-31-3-293,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,R,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619898826,1,0
