article_id_number,no_of_experiments,subfield,type_of_article,type_of_article_other,participants,participants_other,age,brain_beh,topic,topic_other,software,type_of_software,type_of_software_other,did_the_article_receive_a_badge_for_open_data,does_the_article_state_whether_or_not_the_data_are_available,data_statement_indicates_that_data_are,quote_of_statement_if_provided,page_number_of_statement_if_provided,how_are_data_accessible,url_to_dataset,data_url_links_to,if_data_url_links_to_an_independent_archive_repository_which_repository,does_the_data_url_go_to_a_working_page,are_the_data_located_at_the_working_page,can_the_data_be_downloaded,does_the_data_correspond_to_what_is_reported_in_the_article,are_the_data_complete,is_a_codebook_included_with_the_data_or_other_means_of_understanding_the_variables,are_analysis_scripts_included_with_the_data,are_the_data_understandable_and_usable_after_brief_review,is_anything_else_included_with_the_data,did_the_article_receive_a_badge_for_open_materials,does_the_article_state_whether_or_not_any_research_materials_are_available,statement_indicates_that_materials_are,quote_of_statement_if_provided_1,page_number_of_statement_if_provided_1,how_are_materials_accessible_please_only_fill_out_this_question_and_the_questions_below_if_the_articles_statement_indicates_that_the_materials_are_available,url_to_materials,materials_url_links_to,if_materials_url_links_to_an_independent_archive_repository_which_repository,does_the_materials_url_go_to_a_working_page,are_the_materials_located_at_the_working_page,can_the_materials_be_downloaded,do_the_materials_correspond_to_what_is_reported_in_the_article,are_the_materials_complete,are_analysis_scripts_included_with_the_materials,are_the_materials_understandable_and_usable_after_brief_review,is_anything_else_included_with_the_materials,does_the_article_state_whether_there_is_supplemental_information_available,url_to_supplemental_information,open_data_score,open_materials_score
12-12-2014,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
12-2-2014,4,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
12-2-2015,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,NA,NA,Yes,Yes,Available,"""All data and materials have been made publicly available via Harvard Dataverse Network and can be accessed at http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtmlglobalId=doi:10.7910/DVN/27740&studyListingIndex=381dd3734f5b119094c28f53886bc.""",236,Public dataset generated by the authors,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740,Independent archive / repository,Dataverse,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,No,No,NA,Yes,Yes,Available,"""All data and materials have been made publicly available via Harvard Dataverse Network and can be accessed at http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtmlglobalId=doi:10.7910/DVN/27740&studyListingIndex=381dd3734f5b119094c28f53886bc.""",236,Public set of materials generated by the authors,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740,Independent archive / repository,Dataverse,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,Yes,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,14,14
12-3-2014,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub .com/content/by/supplemental-data,0,0
12-4-2014,2,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,"Social behaviour, problem solving, decision making and reasoning",No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
12-4-2015,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
12-6-2014,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
12-7-2014,5 or more,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,Perception (vision) and Cognition (memory/attention),Yes,MATLAB,NA,No,Yes,Available,"All data have been made available at https://www.dropbox.com/sh/s8owgz5ps8o76er/74sF1OpTjy.",1402,Public dataset generated by the authors,https://www.dropbox.com/sh/s8owgz5ps8o76er/74sF1OpTjy,Personal site,NA,Yes,Yes,Yes,Unclear,Unclear whether or not all of the data are available,No,No,Unclear,Experimental Code for Matlab,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss .sagepub.com/content/by/supplemental-data,11,0
12-8-2014,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Other (please specify):,"the Comprehensive Meta Analysis (Version 2; Biostat, Englewood, NJ) software package",Yes,Yes,Available,All data have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/rhfsk.,1617,Public dataset generated by the authors,https://osf.io/rhfsk,Independent archive / repository,OSF,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,No,Yes,NA,No,Yes,Available,"For a list of studies included in the meta-analysis, see the Supplemental Method and Results in the Supplemental Material available online.",1610,PS Supplemental Materials,http://pss.sagepub.com/content/by/supplemental-data,PS Supplemental Materials,PS Sagepub Supplemental Materials,Yes,Requires permission,Requires permission,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,15,8
12-9-2014,2,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,NA,NA,Yes,Yes,Available,All data have been made publicly available via Open Science Framework and can be accessed at https://osf.io/5zimh/,1775,Public dataset generated by the authors,https://osf.io/5zimh/,Independent archive / repository,OSF,Yes,Yes,Yes,Unclear,Unclear whether or not all of the data are available,No,No,Unclear,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,10,0
13-1-2014,1,Social Psychology,NA,NA,Humans,NA,All other ages,Both,"Emotion, personality, social behaviour",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
13-10-2014,3,Social Psychology,NA,NA,Other (please specify):,"Listings of top national universities, list of airports in the US, students from Harvard and Penn",All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,NA,NA,Yes,Yes,Available,All data and some materials have been made publicly available via Open Science Framework and can be accessed at https://osf.io/28ejf/.,1958,Public dataset generated by the authors,https://osf.io/28ejf/,Independent archive / repository,OSF,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,No,NA,No,Yes,Available,All data and some materials have been made publicly available via Open Science Framework and can be accessed at https://osf.io/28ejf/.,1958,Public set of materials generated by the authors,https://osf.io/28ejf/,Independent archive / repository,OSF,Yes,Yes,Yes,Yes,"Yes, but only some of the materials are available",No,Yes,NA,No,NA,14,13
13-11-2014,1,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,Yes,MATLAB,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,1,0
13-12-2014,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
13-2-2014,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,NA,NA,No,Yes,Available,"""Finally, individualism scores were obtained from the Hofstede Centre (http://geert-hofstede.com/countries.html) for 75 nations.""""Suicide rates were taken from the 2011 World Health Organization (WHO) reports. """"The 2007 data on gross domestic product (GDP) per capita for each nation were taken from the World Development Indicators online database (World Bank, 2009).""",http://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Public dataset generated by others,http://data.worldbank.org/indicator/NY.GDP.PCAP.CD,Third party site,World Bank,Yes,Yes,Yes,Yes,"No, not all of the data are available",No,No,No,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,12,0
13-2-2015,1,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,Yes,Other (please specify):,SPSS and Excel,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Available,"""See the Supplemental Material available online for a video showing the trial procedure and experimental setup""",238-239,PS Supplemental Materials,http://pss.sagepub.com/content/by/supplemental-data,PS Supplemental Materials,PS Sagepub Supplemental Materials,Yes,Requires permission,Requires permission,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,1,8
13-3-2014,2,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,Yes,MATLAB,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,1,0
13-4-2014,1,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
13-4-2015,3,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
13-6-2014,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,Emotion and decision making,No,NA,NA,Yes,Yes,Available,All data and materials from this study have been made pub- licly available via the Harvard Dataverse Network and can be accessed at http://dx.doi.org/10.7910/DVN/24885.,1266,Public dataset generated by the authors,http://dx.doi.org/10.7910/DVN/24885,Independent archive / repository,Dataverse,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,Yes,Yes,NA,Yes,Yes,Available,All data and materials from this study have been made publicly available via the Harvard Dataverse Network and can be accessed at http://dx.doi.org/10.7910/DVN/24885.,1266,Public set of materials generated by the authors,http://dx.doi.org/10.7910/DVN/24885,Independent archive / repository,Dataverse,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,Yes,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,24,19
13-7-2014,4,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,NA,NA,No,Yes,Available,"All data and materials can be accessed at http://tlab.princeton.edu/publications/todorovandporterdataandstimuli/. The materials are also available in the Supplemental Material. The complete Open Practices Disclosure for this article can be found athttp://pss.sagepub.com/content/by/supplemental-data.",1416,Public dataset generated by the authors,http://tlab.princeton.edu/publications/todorovandporterdataandstimuli/,Personal site,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,No,No,NA,No,Yes,Available,"All data and materials can be accessed at http://tlab.princeton.edu/publications/todorovandporterdataandstimuli/. The materials are also available in the Supplemental Material. The complete Open Practices Disclosure for this article can be found athttp://pss.sagepub.com/content/by/supplemental-data.",1416,Public set of materials generated by the authors,http://tlab.princeton.edu/publications/todorovandporterdataandstimuli/,Personal site,NA,Yes,No,Requires permission,Unclear,Unclear whether or not all of the materials are available,No,Unclear,NA,"Yes, but it is not freely accessible",http://pss .sagepub.com/content/by/supplemental-data,14,7
13-8-2014,3,Cognition,NA,NA,Humans,NA,All other ages,Both,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Available,All materials have been made publicly available via RunMyCode and can be accessed at http://www.runmycode.org/companion/view/636.,1628,Public set of materials generated by the authors,http://www.runmycode.org/companion/view/636,Independent archive / repository,RunMyCode,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,Yes,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,14
13-9-2014,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
14-1-2014,2,Social Psychology,NA,NA,Humans,NA,All other ages,Both,"Emotion, personality, social behaviour",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Photographs of six upright familiar female faces were used. Each face was Thatcherized by inverting the mouth and eye areas by 180_ç, which created a second set of six images (Fig. 1).",No,NA,0,0
14-11-2014,1,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
14-12-2014,3,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
14-2-2014,1,Perception,NA,NA,Humans,NA,All other ages,Both,Sensation,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Available,"""The role of the good dad involved coming across as reliable, caring, family oriented, and wanting a committed relationship while also being socially reserved and neither charismatic nor confident. (See the Supplemental Material for the scripts and details about pretests showing that each manipulation produced the intended effect""""for the full list of questions and more details about the procedure, see the Supplemental Material""""see IndividualDifference Measures in the Supplemental Material for details""",434,PS Supplemental Materials,http://pss.sagepub.com/content/by/supplemental-data,PS Supplemental Materials,PS Sagepub Supplemental Materials,Yes,Requires permission,Requires permission,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,8
14-3-2014,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,NA,NA,No,Yes,Available,"In addition,we measured numeracy using a recently developed eightitemscale (Weller, Dieckmann, Tusler, Mertz, & Peters,2013) and collected demographic data (age, gender,income, education; see the Supplemental Material availableonline).",754,PS Supplemental Materials,http://pss.sagepub.com/content/by/supplemental-data,PS Supplemental Materials,PS Sagepub Supplemental Materials,Yes,Requires permission,Requires permission,NA,NA,NA,NA,NA,NA,No,Yes,Available,"""For example, if a participant chose a guaranteed $40 over a 50% chance of $100, otherwise $0, the DEEP program then might present a choice between a guaranteed $40 and a 50% chance of $110, otherwise $0 (see https://vlab.decisionsciences.columbia.edu/deeprisk/demo).""",757,Public set of materials generated by the authors,https://vlab.decisionsciences.columbia.edu/deeprisk/demo,Personal site,NA,Yes,Yes,No,Yes,"No, not all of the materials are available",No,Yes,NA,"Yes, but it is not freely accessible",http://pss.sagepub .com/content/by/supplemental-data,8,10
14-4-2014,5 or more,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
14-4-2015,2,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
14-6-2014,1,Health Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Fitness, weight, consumption, hormone levels, chemical uptake, sleeping patterns",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
14-7-2014,2,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss .sagepub.com/content/by/supplemental-data,0,0
14-8-2014,2,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
14-9-2014,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,SPSS,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,1,0
15-1-2014,2,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Other (please specify):,Qualtrics online-survey,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Available,All statements are listed in Consensus Items in the Supplemental Material.,139,PS Supplemental Materials,http://pss.sagepub.com/content/25/1/137/suppl/DC1,PS Supplemental Materials,PS Sagepub Supplemental Materials,Yes,Yes,Yes,Yes,"Yes, but only some of the materials are available",No,Yes,supplemental analysis and additional results,"Yes, and it is freely accessible",http://pss.sagepub.com/content/25/1/137/suppl/DC1,1,13
15-11-2014,1,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
15-12-2014,1,Cognition,NA,NA,Humans,NA,All other ages,Both,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
15-2-2014,3,Social Psychology,NA,NA,Humans,NA,All other ages,Both,"Emotion, personality, social behaviour",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
15-3-2014,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,NA,NA,No,Yes,Available,"""A nationally representative regional assessment of subjective well-being in the United States recently became available: the Gallup-Healthways Well-Being Index (http://www.well-beingindex.com/). """"We obtained data relevant to our hypotheses using publically available databases and previously published research. Variables included statistics on nondirected kidney donations between 1999 and 2010 (Organ Procurement and Transplantation Network, 2011) and statewide assessments of well-being (Gallup, 2012). ""We also investigated associations at the regional level (i.e., the nine geographic regions of the United States as defined by the U.S. Census Bureau)""Economic variables included state-level median household income (U.S. Census Bureau, 2011b) and Gini coefficient, a measure of income inequality (Noss, 2011; U.S. Census Bureau, 2005)""""...past 30 days that respondents reported poor physical or mental health through the Behavioral Risk Factor Surveillance System, a nationwide health survey conducted by the Centers for Disease Control and Prevention (United Health Foundation, 2013).""""Data on race, sex, and median age were obtained from the U.S. Census Bureau; we used intercensal estimates from 1999 (U.S. CensusBureau, 2000) and 2010 (U.S. Census Bureau, 2012) census data""""We collected statistics on educational attainment for 2000 through the U.S. Census Bureau (2006) and for 2010 through the U.S. Census Bureau (2011a) via the American Community Survey. ""","763, 764",Public dataset generated by others,http://www.census.gov/hhes/socdemo/education/data/census/half-century/tables.html,Third party site,US Census database,Yes,Yes,Yes,Yes,"Yes, but only some of the data are available",No,No,Yes,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,13,0
15-4-2014,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,MATLAB,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,1,0
15-4-2015,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
15-6-2014,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,"Sensation, intelligence, problem solving",No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Available,All stimuli have been made publicly available and can be accessed at https://bcbl.sharefile.com/d/sb15a4ba7c024783b,1280,Public set of materials generated by the authors,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:58102,Independent archive / repository,DANS,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,Yes,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,14
15-7-2014,3,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
15-8-2014,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,MATLAB,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Available,"the complete set of object primes is presented in Fig. S2 in the Supplemental Material available online; also see Experimental Setup and Stimuli in Supplemental Method and Results.see Fig. S1 in the Supplemental Material for a photograph of the experimental setup.see Animation of Congruency Effect on Rotation in Supplemental Method and Results and Videos S1___S8","1639, 1644",PS Supplemental Materials,http://pss.sagepub.com/content/by/supplemental-data,PS Supplemental Materials,PS Sagepub Supplemental Materials,Yes,Requires permission,Requires permission,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,1,8
15-9-2014,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,R,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,1,0
16-1-2014,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Available,"for a full list of the pairs, see Table S1 in the Supplemental Material available online",146,PS Supplemental Materials,http://pss.sagepub.com/content/25/1/145/suppl/DC1,PS Supplemental Materials,PS Sagepub Supplemental Materials,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,Yes,NA,"Yes, and it is freely accessible",http://pss.sagepub.com/content/25/1/145/suppl/DC1,0,14
16-11-2014,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,NA,NA,Yes,Yes,Available,All data have been made publicly available via Open Science Framework and can be accessed at https://osf.io/q6gbw/.,2111,Public dataset generated by the authors,https://osf.io/q6gbw/,Independent archive / repository,OSF,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,No,Yes,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,14,0
16-12-2014,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,Decision Making and sleeping patterns,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
